measure_name,lag,value,diagnostic,measure
DALYs (Disability-Adjusted Life Years),1,0.9274843864052714,ACF,DALYs
DALYs (Disability-Adjusted Life Years),2,0.8484160571284154,ACF,DALYs
DALYs (Disability-Adjusted Life Years),3,0.7638133642444804,ACF,DALYs
DALYs (Disability-Adjusted Life Years),4,0.6746933767113273,ACF,DALYs
DALYs (Disability-Adjusted Life Years),5,0.5768119874802413,ACF,DALYs
DALYs (Disability-Adjusted Life Years),6,0.47234192978867307,ACF,DALYs
DALYs (Disability-Adjusted Life Years),7,0.3774124746779006,ACF,DALYs
DALYs (Disability-Adjusted Life Years),8,0.2919196297185189,ACF,DALYs
DALYs (Disability-Adjusted Life Years),9,0.21081447547007715,ACF,DALYs
DALYs (Disability-Adjusted Life Years),10,0.12234368612699711,ACF,DALYs
DALYs (Disability-Adjusted Life Years),11,0.038016207200839404,ACF,DALYs
DALYs (Disability-Adjusted Life Years),12,-0.042003111027764606,ACF,DALYs
DALYs (Disability-Adjusted Life Years),1,0.9274843864052713,PACF,DALYs
DALYs (Disability-Adjusted Life Years),2,-0.08450311685162211,PACF,DALYs
DALYs (Disability-Adjusted Life Years),3,-0.08069804896396723,PACF,DALYs
DALYs (Disability-Adjusted Life Years),4,-0.0777090253440895,PACF,DALYs
DALYs (Disability-Adjusted Life Years),5,-0.11374155477609922,PACF,DALYs
DALYs (Disability-Adjusted Life Years),6,-0.10549938844331248,PACF,DALYs
DALYs (Disability-Adjusted Life Years),7,0.005620268230044528,PACF,DALYs
DALYs (Disability-Adjusted Life Years),8,0.002332495473690878,PACF,DALYs
DALYs (Disability-Adjusted Life Years),9,-0.0359699942795129,PACF,DALYs
DALYs (Disability-Adjusted Life Years),10,-0.1262434126200452,PACF,DALYs
DALYs (Disability-Adjusted Life Years),11,-0.056244690261498656,PACF,DALYs
DALYs (Disability-Adjusted Life Years),12,-0.06315252532971413,PACF,DALYs
Deaths,1,0.9209906187279631,ACF,Deaths
Deaths,2,0.8298778743059382,ACF,Deaths
Deaths,3,0.7322262930861436,ACF,Deaths
Deaths,4,0.6285425340754255,ACF,Deaths
Deaths,5,0.5227895358501826,ACF,Deaths
Deaths,6,0.4114570397289649,ACF,Deaths
Deaths,7,0.31465728841919133,ACF,Deaths
Deaths,8,0.23474422570769118,ACF,Deaths
Deaths,9,0.1617347151546329,ACF,Deaths
Deaths,10,0.08183840629833047,ACF,Deaths
Deaths,11,0.009454238899982216,ACF,Deaths
Deaths,12,-0.058527700230524365,ACF,Deaths
Deaths,1,0.9209906187279633,PACF,Deaths
Deaths,2,-0.12087425948890529,PACF,Deaths
Deaths,3,-0.08789027173875316,PACF,Deaths
Deaths,4,-0.09167348534263188,PACF,Deaths
Deaths,5,-0.07193896390686005,PACF,Deaths
Deaths,6,-0.10426689239849933,PACF,Deaths
Deaths,7,0.026520947186523293,PACF,Deaths
Deaths,8,0.033367718827152185,PACF,Deaths
Deaths,9,-0.03485620190591761,PACF,Deaths
Deaths,10,-0.13037992385917857,PACF,Deaths
Deaths,11,-0.02830532478278726,PACF,Deaths
Deaths,12,-0.05998275527585467,PACF,Deaths
Incidence,1,0.9240357875994236,ACF,Incidence
Incidence,2,0.8460519083490272,ACF,Incidence
Incidence,3,0.7632831838059827,ACF,Incidence
Incidence,4,0.6763422368309422,ACF,Incidence
Incidence,5,0.5882129377576437,ACF,Incidence
Incidence,6,0.5003444351070434,ACF,Incidence
Incidence,7,0.4139536348748139,ACF,Incidence
Incidence,8,0.32941097543936715,ACF,Incidence
Incidence,9,0.2463801232121559,ACF,Incidence
Incidence,10,0.1649281199593732,ACF,Incidence
Incidence,11,0.08528045384770941,ACF,Incidence
Incidence,12,0.009199358996751063,ACF,Incidence
Incidence,1,0.9240357875994234,PACF,Incidence
Incidence,2,-0.05330009787367111,PACF,Incidence
Incidence,3,-0.07490552865829715,PACF,Incidence
Incidence,4,-0.07503874238864455,PACF,Incidence
Incidence,5,-0.05878715666470739,PACF,Incidence
Incidence,6,-0.05211931166157152,PACF,Incidence
Incidence,7,-0.04727613457405992,PACF,Incidence
Incidence,8,-0.04810954942475423,PACF,Incidence
Incidence,9,-0.05379665924604858,PACF,Incidence
Incidence,10,-0.05688965136091618,PACF,Incidence
Incidence,11,-0.05869215472835498,PACF,Incidence
Incidence,12,-0.04962918859013015,PACF,Incidence
Prevalence,1,0.9198483860464617,ACF,Prevalence
Prevalence,2,0.8378324977399001,ACF,Prevalence
Prevalence,3,0.7529102848580831,ACF,Prevalence
Prevalence,4,0.6657968034041939,ACF,Prevalence
Prevalence,5,0.5783242243939232,ACF,Prevalence
Prevalence,6,0.4921210297916739,ACF,Prevalence
Prevalence,7,0.40825368361290465,ACF,Prevalence
Prevalence,8,0.3270297109163539,ACF,Prevalence
Prevalence,9,0.24791987996034223,ACF,Prevalence
Prevalence,10,0.1706484656273934,ACF,Prevalence
Prevalence,11,0.09541504535787007,ACF,Prevalence
Prevalence,12,0.02318135176139721,ACF,Prevalence
Prevalence,1,0.9198483860464619,PACF,Prevalence
Prevalence,2,-0.05386412989426835,PACF,Prevalence
Prevalence,3,-0.06343962590215156,PACF,Prevalence
Prevalence,4,-0.062422984968716434,PACF,Prevalence
Prevalence,5,-0.05413199510033439,PACF,Prevalence
Prevalence,6,-0.046606595660338396,PACF,Prevalence
Prevalence,7,-0.04225431780306064,PACF,Prevalence
Prevalence,8,-0.04252898466795604,PACF,Prevalence
Prevalence,9,-0.04822040081911814,PACF,Prevalence
Prevalence,10,-0.052538492114254653,PACF,Prevalence
Prevalence,11,-0.05383723879673175,PACF,Prevalence
Prevalence,12,-0.050012950951505444,PACF,Prevalence
YLDs (Years Lived with Disability),1,0.9215729319715964,ACF,YLDs
YLDs (Years Lived with Disability),2,0.8420238691678135,ACF,YLDs
YLDs (Years Lived with Disability),3,0.7600792090625855,ACF,YLDs
YLDs (Years Lived with Disability),4,0.6743589117617376,ACF,YLDs
YLDs (Years Lived with Disability),5,0.5859229672888783,ACF,YLDs
YLDs (Years Lived with Disability),6,0.4985239697056686,ACF,YLDs
YLDs (Years Lived with Disability),7,0.41330209653782946,ACF,YLDs
YLDs (Years Lived with Disability),8,0.3306265948051744,ACF,YLDs
YLDs (Years Lived with Disability),9,0.24989046756289407,ACF,YLDs
YLDs (Years Lived with Disability),10,0.1707961017791225,ACF,YLDs
YLDs (Years Lived with Disability),11,0.09356062775628411,ACF,YLDs
YLDs (Years Lived with Disability),12,0.01954415691108103,ACF,YLDs
YLDs (Years Lived with Disability),1,0.9215729319715963,PACF,YLDs
YLDs (Years Lived with Disability),2,-0.0482590512358801,PACF,YLDs
YLDs (Years Lived with Disability),3,-0.05907010472075877,PACF,YLDs
YLDs (Years Lived with Disability),4,-0.07157364469299152,PACF,YLDs
YLDs (Years Lived with Disability),5,-0.06901825215976701,PACF,YLDs
YLDs (Years Lived with Disability),6,-0.04813402589982048,PACF,YLDs
YLDs (Years Lived with Disability),7,-0.042754757571824197,PACF,YLDs
YLDs (Years Lived with Disability),8,-0.04253861603517697,PACF,YLDs
YLDs (Years Lived with Disability),9,-0.049427080079905816,PACF,YLDs
YLDs (Years Lived with Disability),10,-0.05482631235707319,PACF,YLDs
YLDs (Years Lived with Disability),11,-0.056596030649523704,PACF,YLDs
YLDs (Years Lived with Disability),12,-0.05020698712443323,PACF,YLDs
YLLs (Years of Life Lost),1,0.9135655685556465,ACF,YLLs
YLLs (Years of Life Lost),2,0.8091781336528641,ACF,YLLs
YLLs (Years of Life Lost),3,0.6947460364224655,ACF,YLLs
YLLs (Years of Life Lost),4,0.5744981057987919,ACF,YLLs
YLLs (Years of Life Lost),5,0.4623812046658226,ACF,YLLs
YLLs (Years of Life Lost),6,0.3420419271954722,ACF,YLLs
YLLs (Years of Life Lost),7,0.24110823711178803,ACF,YLLs
YLLs (Years of Life Lost),8,0.16385594020482458,ACF,YLLs
YLLs (Years of Life Lost),9,0.0968658487539706,ACF,YLLs
YLLs (Years of Life Lost),10,0.024040507458511502,ACF,YLLs
YLLs (Years of Life Lost),11,-0.03994831473101926,ACF,YLLs
YLLs (Years of Life Lost),12,-0.09843419922152286,ACF,YLLs
YLLs (Years of Life Lost),1,0.9135655685556473,PACF,YLLs
YLLs (Years of Life Lost),2,-0.15371359861388342,PACF,YLLs
YLLs (Years of Life Lost),3,-0.1095710100850031,PACF,YLLs
YLLs (Years of Life Lost),4,-0.09417484913865949,PACF,YLLs
YLLs (Years of Life Lost),5,-0.01777403983480751,PACF,YLLs
YLLs (Years of Life Lost),6,-0.13514825125873278,PACF,YLLs
YLLs (Years of Life Lost),7,0.03957829050876168,PACF,YLLs
YLLs (Years of Life Lost),8,0.050356083839757745,PACF,YLLs
YLLs (Years of Life Lost),9,-0.03331672452525251,PACF,YLLs
YLLs (Years of Life Lost),10,-0.14089571838225348,PACF,YLLs
YLLs (Years of Life Lost),11,-0.00914639702075275,PACF,YLLs
YLLs (Years of Life Lost),12,-0.0498960012892617,PACF,YLLs
