measure_name,model,rmse,mae,mape,mase,validation_years,selected
DALYs (Disability-Adjusted Life Years),ARIMA,20.63942589340101,15.56736152206933,1.2069771457992196,1.7989750000605462,9,FALSE
DALYs (Disability-Adjusted Life Years),ETS,17.09841033463582,12.914901954884929,1.0011602930574834,1.4924549489092023,9,FALSE
DALYs (Disability-Adjusted Life Years),LSTM,15.855021785506485,10.267032092968394,0.7924602749512347,1.186465287254038,9,TRUE
Deaths,ARIMA,0.7895321989199109,0.5957199242454538,1.5112248663734098,1.72439196875447,9,FALSE
Deaths,ETS,0.7351141596479039,0.5360793784264438,1.3638568676191687,1.5517543347980485,9,FALSE
Deaths,LSTM,0.7269306614556137,0.42544500555464676,1.0743770718674506,1.231508164939025,9,TRUE
Incidence,ARIMA,0.35965505692989974,0.2846008949837792,0.12642970092668265,0.23734629994215764,9,TRUE
Incidence,ETS,0.4779687208041187,0.35020581152308394,0.1556012549351435,0.2920583000555287,9,FALSE
Incidence,LSTM,0.5660056514831023,0.4097228015443193,0.18226628139584466,0.3416932014708586,9,FALSE
Prevalence,ARIMA,3.803867838139922,3.07911486559159,0.06965597825638795,0.10170182000390895,9,TRUE
Prevalence,ETS,6.72782466624016,5.761361812817793,0.12974034039435256,0.19029526589356804,9,FALSE
Prevalence,LSTM,9.139679946009196,7.806838249349008,0.17573497301314256,0.25785645975970406,9,FALSE
YLDs (Years Lived with Disability),ARIMA,0.7639131442743008,0.5268730154056824,0.12836710201604515,0.18912771141451296,9,TRUE
YLDs (Years Lived with Disability),ETS,0.9907902280878492,0.7865834705377147,0.1913138081906651,0.2823540535753893,9,FALSE
YLDs (Years Lived with Disability),LSTM,1.1927900924133785,0.90886671889969906,0.22137858728766344,0.3262491672570553,9,FALSE
YLLs (Years of Life Lost),ARIMA,20.23182038230983,15.399437935558113,1.7516127764902054,2.261376684057176,9,FALSE
YLLs (Years of Life Lost),ETS,16.756927148196407,12.882184283707804,1.4671943803295502,1.891723016178306,9,FALSE
YLLs (Years of Life Lost),LSTM,15.299803744848768,10.03231820938672,1.1322788370454615,1.4732258788071888,9,TRUE
