location_name,period,yll_to_yld_ratio
Central Sub-Saharan Africa,1990-1994,1.676059727836248
Central Sub-Saharan Africa,1995-1999,1.5542911734745408
Central Sub-Saharan Africa,2000-2004,1.4810341506474713
Central Sub-Saharan Africa,2005-2009,1.4526749722032286
Central Sub-Saharan Africa,2010-2014,1.4973593449648934
Central Sub-Saharan Africa,2015-2019,1.4902727032298995
Central Sub-Saharan Africa,2020-2023,1.4090760642361864
Eastern Sub-Saharan Africa,1990-1994,3.6877844467510035
Eastern Sub-Saharan Africa,1995-1999,3.5635052208568023
Eastern Sub-Saharan Africa,2000-2004,3.3640084145235734
Eastern Sub-Saharan Africa,2005-2009,3.1698992324636492
Eastern Sub-Saharan Africa,2010-2014,3.058987038421476
Eastern Sub-Saharan Africa,2015-2019,2.9051638027487847
Eastern Sub-Saharan Africa,2020-2023,2.69401481832634
Southern Sub-Saharan Africa,1990-1994,1.8087176295940943
Southern Sub-Saharan Africa,1995-1999,2.1480493331347845
Southern Sub-Saharan Africa,2000-2004,2.097850136787119
Southern Sub-Saharan Africa,2005-2009,2.172053886271994
Southern Sub-Saharan Africa,2010-2014,2.387883099416052
Southern Sub-Saharan Africa,2015-2019,2.2781397636597704
Southern Sub-Saharan Africa,2020-2023,1.9029942422300765
Sub-Saharan Africa,1990-1994,2.5251773530270816
Sub-Saharan Africa,1995-1999,2.490664356698093
Sub-Saharan Africa,2000-2004,2.367868192050699
Sub-Saharan Africa,2005-2009,2.280840611482087
Sub-Saharan Africa,2010-2014,2.265564632198645
Sub-Saharan Africa,2015-2019,2.1598285981219663
Sub-Saharan Africa,2020-2023,1.9664238980906108
Western Sub-Saharan Africa,1990-1994,2.3280367080349884
Western Sub-Saharan Africa,1995-1999,2.24528068131462
Western Sub-Saharan Africa,2000-2004,2.1493257247061277
Western Sub-Saharan Africa,2005-2009,2.057468677137897
Western Sub-Saharan Africa,2010-2014,1.988062124630077
Western Sub-Saharan Africa,2015-2019,1.8825962648882317
Western Sub-Saharan Africa,2020-2023,1.7403994081190186
